trend_date,customer_segment,metric_type,metric_value,additional_context
28-03-2025,Occasional Buyers,Satisfaction,68,"{""product"": ""Standard"", ""survey_count"":45}"
27-03-2025,Loyal Customers,Engagement,88.9,"{""region"": ""West"", ""source"":""email_campaign""}"
26-03-2025,Young Adults,Retention,74,"{""period"": ""90_days"", ""source"": ""social""}"
25-03-2025,Senior Citizens,Satisfaction,89,"{""product"": ""Basic"", ""survey_count"":50}"
24-03-2025,Churned Customers,Retention,45,"{""period"": ""60_days"", ""reason"": ""price""}"
23-03-2025,Frequent Buyers,Engagement,91.2,"{""source"": ""web_portal"", ""frequency"": ""high""}"
22-03-2025,Young Adults,Satisfaction,72,"{""region"": ""South"", ""survey_count"":95}"
21-03-2025,New Customers,Retention,62,"{""period"": ""30_days"", ""source"": ""referral""}"
20-03-2025,Loyal Customers,Satisfaction,85,"{""product"": ""Premium"", ""survey_count"":120}"
19-03-2025,Young Adults,Engagement,78.5,"{""region"": ""North"", ""source"": ""mobile_app""}"
18-03-2025,Occasional Buyers,Engagement,80,"{""region"": ""East"", ""source"": ""online""}"
17-03-2025,Loyal Customers,Retention,70,"{""period"": ""45_days"", ""source"": ""app""}"
16-03-2025,Frequent Buyers,Satisfaction,82,"{""survey_count"": 65}"
15-03-2025,Senior Citizens,Engagement,75,"{""source"": ""phone""}"
14-03-2025,New Customers,Satisfaction,80,"{""survey_count"": 50}"
13-03-2025,Young Adults,Retention,68,"{""period"": ""30_days"", ""source"": ""social""}"
12-03-2025,Occasional Buyers,Satisfaction,70,"{""product"": ""Basic"", ""survey_count"":40}"
11-03-2025,Loyal Customers,Engagement,90,"{""region"": ""Central"", ""source"": ""web""}"
10-03-2025,Frequent Buyers,Retention,65,"{""period"": ""60_days"", ""source"": ""app""}"
09-03-2025,New Customers,Engagement,72,"{""source"": ""online"", ""frequency"": ""medium""}"
