product_name,description,price,category
Toothbrush,A manual toothbrush for daily oral hygiene,2.99,Oral Care
Shampoo,Gentle shampoo for all hair types,5.49,Hair Care
Conditioner,Smoothens hair and improves manageability,6.99,Hair Care
Soap,Moisturizing soap with natural ingredients,3.99,Bath & Body
Mouthwash,Freshens breath and kills bacteria,4.99,Oral Care
Lotion,Hydrating lotion for daily use,7.49,Skin Care
Face Wash,Cleanses the face without drying it out,5.99,Skin Care
Body Wash,Gentle body wash for sensitive skin,4.49,Bath & Body
Hand Sanitizer,Kills 99.9% of germs and bacteria,3.49,Hygiene
Dental Floss,Effective dental floss for clean teeth,1.99,Oral Care
Hair Gel,Strong hold gel for styling hair,4.99,Hair Care
Comb,Detangling comb for smooth hair,1.49,Hair Accessories
Mirror,Portable mirror for makeup and grooming,8.99,Personal Care
Perfume,Long-lasting fragrance,29.99,Fragrances
Sunscreen,Broad spectrum SPF 50,12.99,Skin Care
Deodorant,Effective antiperspirant,5.99,Personal Care
Lip Balm,Moisturizing lip balm,2.49,Personal Care
Nail Polish,"Vibrant, long-lasting polish",3.99,Cosmetics
Moisturizer,Intensive hydrating cream,15.99,Skin Care
Serum,Anti-aging facial serum,24.99,Skin Care
Shaving Cream,Smooth shaving cream for sensitive skin,4.99,Personal Care
Aftershave,Soothing aftershave lotion,6.99,Personal Care
Body Lotion,Lightweight lotion for all-day hydration,7.99,Bath & Body
Scrub,Exfoliating scrub for smooth skin,9.99,Bath & Body
Face Mask,Hydrating sheet mask,3.49,Cosmetics
Eyeliner,Waterproof liquid eyeliner,8.99,Cosmetics
Mascara,Volume-enhancing mascara,10.99,Cosmetics
Foundation,Natural finish liquid foundation,18.99,Cosmetics
Concealer,High coverage concealer,12.99,Cosmetics
Blush,"Soft, natural flush blush",9.99,Cosmetics
